"id","genome","taxonomy","sample","infant"
"208","conN2_038_000G1_concoct_4.fa","Clostridium perfringens","N2_038_000G1","N2_038"
"209","conN2_038_000G1_concoct_9.fa","Enterococcus faecium","N2_038_000G1","N2_038"
"210","conN2_038_009G1_concoct_6.fa","Enterococcus faecalis","N2_038_009G1","N2_038"
"211","conN2_038_009G1_concoct_8.fa","Veillonella parvula DSM 2008","N2_038_009G1","N2_038"
"212","conN2_038_011G1_concoct_16.fa","Citrobacter freundii","N2_038_011G1","N2_038"
"213","conN2_038_011G1_concoct_6.fa","Haemophilus parainfluenzae T3T1","N2_038_011G1","N2_038"
"214","conN2_038_011G1_concoct_9.fa","Staphylococcus epidermidis","N2_038_011G1","N2_038"
"215","conN2_038_013G1_concoct_9.fa","Streptococcus parasanguinis ATCC 15912","N2_038_013G1","N2_038"
"216","conN2_038_015G1_concoct_28.fa","Pantoea sp. PSNIH2","N2_038_015G1","N2_038"
"217","conN2_038_018G1_concoct_8.fa","Propionibacterium avidum 44067","N2_038_018G1","N2_038"
"218","conN2_038_020G1_concoct_5.fa","Haemophilus parainfluenzae T3T1","N2_038_020G1","N2_038"
"219","conN2_038_020G1_concoct_6.fa","Finegoldia magna ATCC 29328","N2_038_020G1","N2_038"
"220","conN2_038_026G1_concoct_21.fa","Veillonella parvula DSM 2008","N2_038_026G1","N2_038"
"221","conN2_038_030G1_concoct_24.fa","Enterococcus casseliflavus EC20","N2_038_030G1","N2_038"
"222","conN2_038_036G1_concoct_16.fa","Clostridioides difficile","N2_038_036G1","N2_038"
"223","conN2_038_036G1_concoct_5.fa","Clostridium baratii str. Sullivan","N2_038_036G1","N2_038"
"224","conN2_038_044G1_concoct_15.fa","Anaerococcus prevotii DSM 20548","N2_038_044G1","N2_038"
"225","conN2_039_000G1_concoct_18.fa","Clostridium butyricum","N2_039_000G1","N2_039"
"226","conN2_039_000G1_concoct_27.fa","Finegoldia magna ATCC 29328","N2_039_000G1","N2_039"
"227","conN2_039_000G1_concoct_29.fa","Neisseria meningitidis","N2_039_000G1","N2_039"
"228","conN2_039_000G1_concoct_35.fa","Clostridioides difficile","N2_039_000G1","N2_039"
"229","conN2_039_000G1_concoct_39.fa","Acinetobacter nosocomialis","N2_039_000G1","N2_039"
"230","conN2_039_000G1_concoct_3.fa","Lactobacillus fermentum IFO 3956","N2_039_000G1","N2_039"
"231","conN2_039_000G1_concoct_55.fa","Actinomyces meyeri","N2_039_000G1","N2_039"
"232","conN2_039_008G1_concoct_30.fa","Haemophilus parainfluenzae T3T1","N2_039_008G1","N2_039"
"233","conN2_039_008G1_concoct_33.fa","Veillonella parvula DSM 2008","N2_039_008G1","N2_039"
"234","conN2_039_008G1_concoct_3.fa","Staphylococcus epidermidis","N2_039_008G1","N2_039"
"235","conN2_039_011G1_concoct_12.fa","Streptococcus salivarius","N2_039_011G1","N2_039"
"236","conN2_039_011G1_concoct_29.fa","Pantoea sp. PSNIH2","N2_039_011G1","N2_039"
"237","conN2_039_011G1_concoct_3.fa","Enterococcus faecalis","N2_039_011G1","N2_039"
"238","conN2_039_013G1_concoct_29.fa","Plautia stali symbiont","N2_039_013G1","N2_039"
"239","conN2_039_013G1_concoct_3.fa","Finegoldia magna ATCC 29328","N2_039_013G1","N2_039"
"240","conN2_039_015G1_concoct_11.fa","Propionibacterium avidum 44067","N2_039_015G1","N2_039"
"241","conN2_039_018G1_concoct_23.fa","Lactobacillus rhamnosus LOCK900","N2_039_018G1","N2_039"
"242","conN2_039_018G1_concoct_8.fa","Clostridium baratii str. Sullivan","N2_039_018G1","N2_039"
"243","conN2_039_020G1_concoct_17.fa","Streptococcus parasanguinis FW213","N2_039_020G1","N2_039"
"244","conN2_039_021G1_concoct_21.fa","Streptococcus suis","N2_039_021G1","N2_039"
"245","conN2_039_037G1_concoct_11.fa","Enterococcus faecium T110","N2_039_037G1","N2_039"
"246","conN2_039_044G1_concoct_19.fa","Enterococcus faecium","N2_039_044G1","N2_039"
"247","conN2_039_044G1_concoct_25.fa","Streptococcus salivarius","N2_039_044G1","N2_039"
"248","conN2_039_044G1_concoct_2.fa","Citrobacter freundii","N2_039_044G1","N2_039"
"249","conN2_060_000G1_concoct_16.fa","Clostridium perfringens","N2_060_000G1","N2_060"
"250","conN2_060_000G1_concoct_3.fa","Veillonella parvula DSM 2008","N2_060_000G1","N2_060"
"251","conN2_060_000G1_concoct_7.fa","Pseudomonas aeruginosa","N2_060_000G1","N2_060"
"252","conN2_060_008G1_concoct_15.fa","Staphylococcus epidermidis","N2_060_008G1","N2_060"
"253","conN2_060_008G1_concoct_7.fa","Enterobacteriaceae bacterium strain FGI 57","N2_060_008G1","N2_060"
"254","conN2_060_009G1_concoct_20.fa","Enterococcus faecalis","N2_060_009G1","N2_060"
"255","conN2_060_011G1_concoct_3.fa","Klebsiella pneumoniae","N2_060_011G1","N2_060"
"256","conN2_060_013G1_concoct_12.fa","Enterococcus faecium","N2_060_013G1","N2_060"
"257","conN2_060_013G1_concoct_17.fa","Veillonella parvula DSM 2008","N2_060_013G1","N2_060"
"258","conN2_060_013G1_concoct_21.fa","Klebsiella pneumoniae","N2_060_013G1","N2_060"
"259","conN2_060_013G1_concoct_24.fa","Bifidobacterium breve","N2_060_013G1","N2_060"
"260","conN2_060_016G1_concoct_8.fa","Escherichia coli","N2_060_016G1","N2_060"
"261","conN2_060_019G1_concoct_15.fa","Clostridioides difficile","N2_060_019G1","N2_060"
"262","conN2_060_019G1_concoct_9.fa","Clostridium baratii str. Sullivan","N2_060_019G1","N2_060"
"263","conN2_060_020G1_concoct_32.fa","Streptococcus salivarius","N2_060_020G1","N2_060"
"264","conN2_061_000G1_concoct_14.fa","Pseudomonas aeruginosa","N2_061_000G1","N2_061"
"265","conN2_061_007G1_concoct_4.fa","Enterococcus faecalis","N2_061_007G1","N2_061"
"266","conN2_061_007G1_concoct_6.fa","Klebsiella pneumoniae subsp. pneumoniae KPNIH27","N2_061_007G1","N2_061"
"267","conN2_061_008G1_concoct_8.fa","Staphylococcus epidermidis","N2_061_008G1","N2_061"
"268","conN2_061_021G1_concoct_12.fa","Enterobacter cloacae","N2_061_021G1","N2_061"
"269","conN2_061_025G1_concoct_25.fa","Citrobacter sp. FDAARGOS_156","N2_061_025G1","N2_061"
"270","conN2_061_082G1_concoct_12.fa","Enterococcus faecium T110","N2_061_082G1","N2_061"
"271","conN2_061_082G1_concoct_7.fa","Clostridium perfringens","N2_061_082G1","N2_061"
"272","conN2_064_000G1_concoct_15.fa","Clostridium baratii str. Sullivan","N2_064_000G1","N2_064"
"273","conN2_064_000G1_concoct_16.fa","Peptoniphilus sp. 1-1","N2_064_000G1","N2_064"
"274","conN2_064_000G1_concoct_23.fa","Pseudomonas aeruginosa","N2_064_000G1","N2_064"
"275","conN2_064_000G1_concoct_2.fa","[Clostridium] saccharolyticum WM1","N2_064_000G1","N2_064"
"276","conN2_064_000G1_concoct_33.fa","Streptococcus salivarius","N2_064_000G1","N2_064"
